,867
mean_fit_time,40.285290360450745
std_fit_time,0.6317175670817758
mean_score_time,51.00288212299347
std_score_time,1.8923625091969507
param_Kmean,
param_clf__bootstrap,True
param_clf__bootstrap_features,False
param_clf__max_features,0.9
param_clf__max_samples,0.7
param_clf__n_estimators,128
params,"{'Kmean': None, 'clf__bootstrap': True, 'clf__bootstrap_features': False, 'clf__max_features': 0.9, 'clf__max_samples': 0.7, 'clf__n_estimators': 128}"
mean_test_accuracy,0.5754999999999999
std_test_accuracy,0.019868316486305507
rank_test_accuracy,44
mean_train_accuracy,0.62925
std_train_accuracy,0.004872684635347887
mean_test_f1_weighted,0.5858494831502836
std_test_f1_weighted,0.01903181076309097
rank_test_f1_weighted,38
mean_train_f1_weighted,0.6389193533117794
std_train_f1_weighted,0.005289021391854054
mean_test_roc_auc_ovr,0.9088672548387857
std_test_roc_auc_ovr,0.006604637647041263
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,0.9389531956927522
std_train_roc_auc_ovr,0.0030594180625836366
best_final_test_accuracy,0.602
best_final_test_roc_ovr,0.927274695189538
best_final_test_f1_weighted,0.6136405868499072
