,17
mean_fit_time,129.07705068588257
std_fit_time,9.796660667519168
mean_score_time,27.196506679058075
std_score_time,4.294021210732005
param_clf__bootstrap,False
param_clf__max_features,0.9
param_clf__max_samples,0.9
params,"{'clf__bootstrap': False, 'clf__max_features': 0.9, 'clf__max_samples': 0.9}"
mean_test_accuracy,0.77575
std_test_accuracy,0.00831790237980707
rank_test_accuracy,2
mean_train_accuracy,0.99425
std_train_accuracy,0.0008620067027324092
mean_test_f1_weighted,0.7762111731817483
std_test_f1_weighted,0.009018811244895598
rank_test_f1_weighted,2
mean_train_f1_weighted,0.9942576816522287
std_train_f1_weighted,0.0008584699193975221
mean_test_roc_auc_ovr,0.9688421608215558
std_test_roc_auc_ovr,0.0019750940256677376
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,0.999923288362849
std_train_roc_auc_ovr,3.1182187144615235e-05
best_final_test_accuracy,0.791
best_final_test_roc_ovr,0.9701864899787338
best_final_test_f1_weighted,0.7909626666332018
