,229
mean_fit_time,9.787802815437317
std_fit_time,1.126372069907524
mean_score_time,0.010869204998016357
std_score_time,0.0007698640651166218
param_clf__alpha,0.0001
param_clf__hidden_layer_sizes,"[128, 128, 64, 64]"
param_clf__learning_rate_init,0.0001
param_pca__n_components,0.876
param_scaler,MinMaxScaler()
params,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': [128, 128, 64, 64], 'clf__learning_rate_init': 0.0001, 'pca__n_components': 0.876, 'scaler': MinMaxScaler()}"
split0_test_score,0.708
split1_test_score,0.6
split2_test_score,0.716
split3_test_score,0.624
mean_test_score,0.662
std_test_score,0.050793700396801165
rank_test_score,1
split0_train_score,0.9973333333333333
split1_train_score,1.0
split2_train_score,0.9946666666666667
split3_train_score,1.0
mean_train_score,0.998
std_train_score,0.0022110831935702575
best_final_test,0.64
best_cv_test,0.662
best_cv_train,0.998
