,svm,rf,mlp,nb
Index,4013,592,592,10
mean_fit_time,3.89103364944458,12.97577166557312,74.33918642997742,0.9664892554283142
std_fit_time,0.25793864979745945,0.5959123391641155,5.737743578959564,0.1598518865558118
mean_score_time,0.5197006464004517,0.23868471384048462,0.058359622955322266,0.027445554733276367
std_score_time,0.034968615356278494,0.033998872806699186,0.018513999715014027,0.003109497990602826
param_pca__n_components,0.981,0.89,0.981,0.8116326530612246
params,"{'clf__C': 2.0, 'clf__gamma': 0.07142857142857142, 'clf__kernel': 'rbf', 'pca__n_components': 0.981}","{'clf__max_depth': 50, 'clf__n_estimators': 950, 'pca__n_components': 0.89}","{'clf__alpha': 0.1, 'clf__hidden_layer_sizes': [256, 128, 256, 128], 'clf__learning_rate_init': 0.001, 'pca__n_components': 0.981}","{'pca__n_components': 0.8116326530612246, 'scaler': MinMaxScaler()}"
split0_test_score,0.742,0.68,0.754,0.626
split1_test_score,0.792,0.704,0.784,0.664
split2_test_score,0.792,0.694,0.77,0.658
split3_test_score,0.76,0.648,0.75,0.638
mean_test_score,0.7715000000000001,0.6815,0.7645,0.6465
std_test_score,0.0214650879336657,0.021136461387848225,0.013518505834595787,0.015256146302392372
rank_test_score,1,1,1,1
split0_train_score,0.998,1.0,1.0,0.7646666666666667
split1_train_score,0.998,1.0,1.0,0.7646666666666667
split2_train_score,0.9993333333333333,1.0,1.0,0.7706666666666667
split3_train_score,0.998,1.0,1.0,0.764
mean_train_score,0.9983333333333333,1.0,1.0,0.766
std_train_score,0.0005773502691896103,0.0,0.0,0.0027080128015453293
best_final_test,0.732,0.654,0.736,0.614
best_cv_test,0.7715000000000001,0.6815,0.7645,0.6465
best_cv_train,0.9983333333333333,1.0,1.0,0.766
