,711
mean_fit_time,43.610154151916504
std_fit_time,1.014919410569573
mean_score_time,0.1270732283592224
std_score_time,0.009635993088847435
param_Kmean,
param_clf__alpha,0.4
param_clf__hidden_layer_sizes,"[256, 128, 64, 64]"
param_clf__learning_rate_init,0.004
param_pca,
params,"{'Kmean': None, 'clf__alpha': 0.4, 'clf__hidden_layer_sizes': [256, 128, 64, 64], 'clf__learning_rate_init': 0.004, 'pca': None}"
mean_test_accuracy,0.75925
std_test_accuracy,0.004763139720814417
rank_test_accuracy,1
mean_train_accuracy,0.9836666666666667
std_train_accuracy,0.012556538801224888
mean_test_f1_weighted,0.7586830995573104
std_test_f1_weighted,0.004899704915427177
rank_test_f1_weighted,1
mean_train_f1_weighted,0.9836694024859456
std_train_f1_weighted,0.012550198021691238
mean_test_roc_auc_ovr,0.968155879563716
std_test_roc_auc_ovr,0.0005302546845526436
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,0.9998906334954245
std_train_roc_auc_ovr,0.00013355700349788405
best_final_test_accuracy,0.916
best_final_test_roc_ovr,0.9933818368524152
best_final_test_f1_weighted,0.9166114548206538
