,271
mean_fit_time,21.348543107509613
std_fit_time,0.21507934343764065
mean_score_time,0.33129608631134033
std_score_time,0.030680197605130455
param_Kmean,
param_clf__max_depth,100
param_clf__n_estimators,450
param_pca,
params,"{'Kmean': None, 'clf__max_depth': 100, 'clf__n_estimators': 450, 'pca': None}"
mean_test_accuracy,0.69675
std_test_accuracy,0.022487496525847396
rank_test_accuracy,1
mean_train_accuracy,1.0
std_train_accuracy,0.0
mean_test_f1_weighted,0.6989668929960533
std_test_f1_weighted,0.02205365741548811
rank_test_f1_weighted,1
mean_train_f1_weighted,1.0
std_train_f1_weighted,0.0
mean_test_roc_auc_ovr,0.939304616439252
std_test_roc_auc_ovr,0.005037271624393447
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,1.0
std_train_roc_auc_ovr,0.0
best_final_test_accuracy,0.679
best_final_test_roc_ovr,0.9421334015499617
best_final_test_f1_weighted,0.6834874428625927
