,1097
mean_fit_time,33.5392290353775
std_fit_time,6.906485043619372
mean_score_time,9.262015521526337
std_score_time,0.6007552809264223
param_Kmean,
param_clf__C,1.25
param_clf__gamma,0.12857142857142856
param_pca,
params,"{'Kmean': None, 'clf__C': 1.25, 'clf__gamma': 0.12857142857142856, 'pca': None}"
mean_test_accuracy,0.801
std_test_accuracy,0.0104163333279998
rank_test_accuracy,1
mean_train_accuracy,0.9973333333333333
std_train_accuracy,0.0008498365855988236
mean_test_f1_weighted,0.8025929607719093
std_test_f1_weighted,0.010748050215393015
rank_test_f1_weighted,1
mean_train_f1_weighted,0.9973384760817625
std_train_f1_weighted,0.0008472730679135966
mean_test_roc_auc_ovr,0.9770234292985145
std_test_roc_auc_ovr,0.002022420570760108
rank_test_roc_auc_ovr,1
mean_train_roc_auc_ovr,0.999997602113338
std_train_roc_auc_ovr,1.2142851718486561e-06
best_final_test_accuracy,0.964
best_final_test_roc_ovr,0.9992627306108229
best_final_test_f1_weighted,0.9638548015165681
