Split,train,test,Model_ID,Attribute
0,0.9507246376811594,0.881159420289855,knn,2.0
1,0.9550724637681159,0.8971014492753623,knn,2.0
2,0.9521739130434783,0.9130434782608695,knn,2.0
3,0.9539855072463768,0.8840579710144928,knn,2.0
4,0.9576086956521739,0.8971014492753623,knn,2.0
0,0.9489130434782609,0.8985507246376812,knn,3.0
1,0.9510869565217391,0.9014492753623189,knn,3.0
2,0.9507246376811594,0.9318840579710145,knn,3.0
3,0.9532608695652174,0.9057971014492754,knn,3.0
4,0.9521739130434783,0.8971014492753623,knn,3.0
0,0.9365942028985508,0.9,knn,4.0
1,0.9329710144927537,0.8971014492753623,knn,4.0
2,0.9322463768115942,0.9217391304347826,knn,4.0
3,0.9344202898550724,0.8942028985507247,knn,4.0
4,0.9365942028985508,0.8913043478260869,knn,4.0
0,0.933695652173913,0.9028985507246376,knn,5.0
1,0.9333333333333333,0.8971014492753623,knn,5.0
2,0.9297101449275362,0.9231884057971015,knn,5.0
3,0.9351449275362319,0.9028985507246376,knn,5.0
4,0.9365942028985508,0.8985507246376812,knn,5.0
0,0.9257246376811594,0.8956521739130435,knn,6.0
1,0.9264492753623188,0.8927536231884058,knn,6.0
2,0.9173913043478261,0.9260869565217391,knn,6.0
3,0.9289855072463769,0.9,knn,6.0
4,0.9268115942028986,0.8913043478260869,knn,6.0
0,0.925,0.9014492753623189,knn,7.0
1,0.9260869565217391,0.8927536231884058,knn,7.0
2,0.9166666666666666,0.927536231884058,knn,7.0
3,0.9271739130434783,0.908695652173913,knn,7.0
4,0.9300724637681159,0.9014492753623189,knn,7.0
0,0.9217391304347826,0.8971014492753623,knn,8.0
1,0.922463768115942,0.8942028985507247,knn,8.0
2,0.9126811594202898,0.9231884057971015,knn,8.0
3,0.9199275362318841,0.9057971014492754,knn,8.0
4,0.9213768115942029,0.8913043478260869,knn,8.0
0,0.9217391304347826,0.9014492753623189,knn,9.0
1,0.9260869565217391,0.8942028985507247,knn,9.0
2,0.9163043478260869,0.9260869565217391,knn,9.0
3,0.922463768115942,0.9014492753623189,knn,9.0
4,0.9264492753623188,0.8942028985507247,knn,9.0
0,0.9173913043478261,0.8985507246376812,knn,10.0
1,0.9192028985507247,0.8942028985507247,knn,10.0
2,0.9101449275362319,0.9246376811594202,knn,10.0
3,0.9177536231884058,0.8927536231884058,knn,10.0
4,0.9166666666666666,0.8942028985507247,knn,10.0
0,0.9195652173913044,0.8985507246376812,knn,11.0
1,0.9213768115942029,0.8971014492753623,knn,11.0
2,0.9141304347826087,0.9231884057971015,knn,11.0
3,0.9184782608695652,0.8913043478260869,knn,11.0
4,0.9213768115942029,0.8942028985507247,knn,11.0
0,0.9144927536231884,0.9028985507246376,knn,12.0
1,0.9170289855072464,0.8913043478260869,knn,12.0
2,0.9061594202898551,0.9188405797101449,knn,12.0
3,0.9115942028985508,0.8927536231884058,knn,12.0
4,0.9173913043478261,0.8927536231884058,knn,12.0
0,0.9163043478260869,0.9072463768115943,knn,13.0
1,0.9202898550724637,0.8927536231884058,knn,13.0
2,0.9090579710144927,0.9202898550724637,knn,13.0
3,0.9155797101449276,0.8942028985507247,knn,13.0
4,0.9177536231884058,0.8927536231884058,knn,13.0
0,0.913768115942029,0.9014492753623189,knn,14.0
1,0.9148550724637681,0.8942028985507247,knn,14.0
2,0.9018115942028986,0.9173913043478261,knn,14.0
3,0.9115942028985508,0.8956521739130435,knn,14.0
4,0.9094202898550725,0.8869565217391304,knn,14.0
0,0.9126811594202898,0.9028985507246376,knn,15.0
1,0.9115942028985508,0.8869565217391304,knn,15.0
2,0.9057971014492754,0.9202898550724637,knn,15.0
3,0.9159420289855073,0.8971014492753623,knn,15.0
4,0.9119565217391304,0.8884057971014493,knn,15.0
0,0.9130434782608695,0.9014492753623189,knn,16.0
1,0.9083333333333333,0.8898550724637682,knn,16.0
2,0.9061594202898551,0.9231884057971015,knn,16.0
3,0.9101449275362319,0.8927536231884058,knn,16.0
4,0.9105072463768116,0.8898550724637682,knn,16.0
0,0.9101449275362319,0.9014492753623189,knn,17.0
1,0.9112318840579711,0.8913043478260869,knn,17.0
2,0.907608695652174,0.9202898550724637,knn,17.0
3,0.9123188405797101,0.8971014492753623,knn,17.0
4,0.9119565217391304,0.8927536231884058,knn,17.0
0,0.9061594202898551,0.8985507246376812,knn,18.0
1,0.9050724637681159,0.8898550724637682,knn,18.0
2,0.9,0.9188405797101449,knn,18.0
3,0.907608695652174,0.8942028985507247,knn,18.0
4,0.9079710144927536,0.8898550724637682,knn,18.0
0,0.9072463768115943,0.8985507246376812,knn,19.0
1,0.9101449275362319,0.8927536231884058,knn,19.0
2,0.9036231884057971,0.9260869565217391,knn,19.0
3,0.908695652173913,0.8985507246376812,knn,19.0
4,0.9105072463768116,0.8927536231884058,knn,19.0
0,0.9065217391304348,0.8971014492753623,knn,20.0
1,0.9054347826086957,0.8927536231884058,knn,20.0
2,0.9003623188405797,0.9217391304347826,knn,20.0
3,0.9057971014492754,0.8971014492753623,knn,20.0
4,0.9090579710144927,0.8913043478260869,knn,20.0
0,0.9079710144927536,0.9,knn,21.0
1,0.908695652173913,0.8913043478260869,knn,21.0
2,0.902536231884058,0.9246376811594202,knn,21.0
3,0.9079710144927536,0.9,knn,21.0
4,0.9072463768115943,0.8927536231884058,knn,21.0
0,0.9032608695652173,0.8956521739130435,knn,22.0
1,0.9068840579710145,0.8927536231884058,knn,22.0
2,0.9010869565217391,0.9217391304347826,knn,22.0
3,0.9057971014492754,0.8971014492753623,knn,22.0
4,0.9068840579710145,0.8884057971014493,knn,22.0
0,0.9047101449275362,0.9028985507246376,knn,23.0
1,0.9112318840579711,0.8942028985507247,knn,23.0
2,0.9018115942028986,0.9217391304347826,knn,23.0
3,0.907608695652174,0.8971014492753623,knn,23.0
4,0.9105072463768116,0.8913043478260869,knn,23.0
0,0.9007246376811594,0.8956521739130435,knn,24.0
1,0.9072463768115943,0.8913043478260869,knn,24.0
