Feature,Importance
word_freq_hp,5.992098297991026
word_freq_george,5.422156041945262
char_freq_%24,4.333598766935258
word_freq_remove,4.243030592500072
char_freq_%21,4.13799782622587
word_freq_hpl,3.985151425727733
word_freq_meeting,3.9283482380612993
word_freq_edu,3.585401477798335
word_freq_project,3.262167979389464
word_freq_000,3.235407222874342
word_freq_money,3.0311594610123898
word_freq_re,3.0289158823252373
word_freq_free,2.8547525041592907
word_freq_font,2.7768693786602987
word_freq_85,2.7600821158512763
word_freq_lab,2.7387008155821664
word_freq_cs,2.7366391439542728
word_freq_our,2.2764091460607747
capital_run_length_average,2.2706705003088286
word_freq_conference,2.2650628685461345
word_freq_internet,2.1279913329744566
word_freq_3d,2.1176017041979027
word_freq_credit,2.037211250746178
word_freq_telnet,1.9605209079790644
capital_run_length_total,1.7817400647662742
word_freq_business,1.77849654882712
char_freq_%23,1.732049564700168
word_freq_data,1.632216599312915
capital_run_length_longest,1.6171674502087487
word_freq_addresses,1.5614372133494963
word_freq_415,1.5094412311550927
word_freq_your,1.4552285731748478
word_freq_technology,1.4248301365129632
char_freq_%3B,1.3512669965736326
word_freq_1999,1.3012960418258452
word_freq_pm,1.281036300798778
word_freq_order,1.1579505581572072
word_freq_857,1.1518401296347256
word_freq_table,1.1357138147929775
word_freq_over,1.093454033859956
char_freq_%5B,1.085336518762468
word_freq_address,1.0636209822509084
word_freq_labs,1.017230970754278
word_freq_email,0.9648386156007471
word_freq_mail,0.899676526960728
word_freq_report,0.7941052327627912
word_freq_original,0.7559086758011715
word_freq_will,0.6924201779418192
word_freq_receive,0.6904982173320162
word_freq_direct,0.610639607772801
char_freq_%28,0.32320262832961305
word_freq_650,0.28258511822555055
word_freq_parts,0.1763642545657563
word_freq_all,0.11858649287955765
word_freq_make,0.05258770586797691
word_freq_people,0.022016690673523756
word_freq_you,0.01942236986264363
