,7
mean_fit_time,143.4000767469406
std_fit_time,6.189084505714716
mean_score_time,0.2803875207901001
std_score_time,0.019310785068683747
param_learning_rate,0.23111111111111113
param_loss,log_loss
param_n_estimators,400
params,"{'learning_rate': 0.23111111111111113, 'loss': 'log_loss', 'n_estimators': 400}"
split0_test_score,0.85024
split1_test_score,0.85536
split2_test_score,0.84944
split3_test_score,0.85808
mean_test_score,0.85328
std_test_score,0.003583071308249385
rank_test_score,1
split0_train_score,0.9348266666666667
split1_train_score,0.9338666666666666
split2_train_score,0.9368
split3_train_score,0.9330666666666667
mean_train_score,0.9346399999999999
std_train_score,0.0013940827330781395
final_test,0.85644
