,0
mean_fit_time,0.9897961020469666
std_fit_time,0.11391926071042204
mean_score_time,0.08712506294250488
std_score_time,0.010377482752398495
param_alpha,0.01
param_fit_prior,True
params,"{'alpha': 0.01, 'fit_prior': True}"
split0_test_score,0.82912
split1_test_score,0.83376
split2_test_score,0.82912
split3_test_score,0.83776
mean_test_score,0.83244
std_test_score,0.0036086562596068824
rank_test_score,1
split0_train_score,0.83824
split1_train_score,0.8368
split2_train_score,0.8374933333333333
split3_train_score,0.83616
mean_train_score,0.8371733333333333
std_train_score,0.0007756287771866021
final_test,0.83236
