,17
mean_fit_time,55.17197638750076
std_fit_time,7.04162247686103
mean_score_time,0.11756110191345215
std_score_time,0.006086672389377183
param_clf__alpha,0.0001
param_clf__hidden_layer_sizes,"[128, 64, 64, 32]"
param_clf__learning_rate_init,0.001
params,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': [128, 64, 64, 32], 'clf__learning_rate_init': 0.001}"
split0_test_score,0.9012
split1_test_score,0.9012
split2_test_score,0.9024
split3_test_score,0.8968
mean_test_score,0.9004000000000001
std_test_score,0.00213541565040624
rank_test_score,1
split0_train_score,0.9998666666666667
split1_train_score,1.0
split2_train_score,1.0
split3_train_score,1.0
mean_train_score,0.9999666666666667
std_train_score,5.773502691895622e-05
best_final_test,0.8932
best_cv_test,0.9004000000000001
best_cv_train,0.9999666666666667
