,DT,rf,Ridge
Index,7,699,21
mean_fit_time,0.07518452405929565,0.48302948474884033,0.006589710712432861
std_fit_time,0.008200230273480508,0.01895513907270191,0.0030282122144871353
mean_score_time,0.0007671713829040527,0.01826488971710205,0.0007261037826538086
std_score_time,2.2898348274780204e-05,0.002575886247859588,8.508545817910581e-05
params,{'max_depth': 8},"{'max_depth': 18, 'max_features': 'sqrt', 'n_estimators': 20}",{'alpha': 0.21}
split0_test_score,0.6355198018628058,0.7501321764065413,0.6052436952899654
split1_test_score,0.6510997100662925,0.7505541081197071,0.6010076828873177
split2_test_score,0.6411094700172677,0.7456836444199912,0.5946907422545507
split3_test_score,0.6664654418191578,0.7608058326506076,0.6185872571494901
mean_test_score,0.648548605941381,0.7517939403992118,0.604882344395331
std_test_score,0.011753846382596016,0.0055418535381469,0.008758381186980357
rank_test_score,1,1,1
split0_train_score,0.7349418999993165,0.9471680408214387,0.6056854495887198
split1_train_score,0.7476653419297844,0.9481788560026908,0.6072523252854863
split2_train_score,0.7417372631414741,0.9471798870778553,0.6092210751647267
split3_train_score,0.7401602000260372,0.9486331625352517,0.6012482786323003
mean_train_score,0.741126176274153,0.9477899866093091,0.6058517821678083
std_train_score,0.004536311766915701,0.0006366323602614115,0.0029382634178992096
best_final_test,0.6443869545715294,0.7464982261423195,0.6043793992130073
best_cv_test,0.648548605941381,0.7517939403992118,0.604882344395331
best_cv_train,0.741126176274153,0.9477899866093091,0.6058517821678083
