,699
mean_fit_time,0.48302948474884033
std_fit_time,0.01895513907270191
mean_score_time,0.01826488971710205
std_score_time,0.002575886247859588
param_max_depth,18
param_max_features,sqrt
param_n_estimators,20
params,"{'max_depth': 18, 'max_features': 'sqrt', 'n_estimators': 20}"
split0_test_score,0.7501321764065413
split1_test_score,0.7505541081197071
split2_test_score,0.7456836444199912
split3_test_score,0.7608058326506076
mean_test_score,0.7517939403992118
std_test_score,0.0055418535381469
rank_test_score,1
split0_train_score,0.9471680408214387
split1_train_score,0.9481788560026908
split2_train_score,0.9471798870778553
split3_train_score,0.9486331625352517
mean_train_score,0.9477899866093091
std_train_score,0.0006366323602614115
best_final_test,0.7464982261423195
best_cv_test,0.7517939403992118
best_cv_train,0.9477899866093091
